City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Ternate,ID,2021-08-03 15:44:08,0.8,127.4,81.63,78,51,5.88
223,Margate,GB,2021-08-03 15:42:01,51.3813,1.3862,69.33,49,3,10.83
224,Riyadh,SA,2021-08-03 15:39:47,24.6877,46.7219,109.54,7,51,1.9
225,Palmer,US,2021-08-03 15:40:22,42.1584,-72.3287,75.27,58,75,0.0
226,Singaparna,ID,2021-08-03 15:44:09,-7.3515,108.111,71.44,99,100,1.01
227,Dalbandin,PK,2021-08-03 15:44:09,28.8947,64.4101,94.19,7,0,13.71
228,Jaguaruna,BR,2021-08-03 15:44:10,-28.615,-49.0256,63.25,61,0,6.67
229,Codrington,AU,2021-08-03 15:44:10,-38.2667,141.9667,48.2,87,88,11.72
230,Komsomolskiy,UZ,2021-08-03 15:44:10,40.4272,71.7189,90.32,20,100,4.61
231,Colares,PT,2021-08-03 15:44:11,38.7992,-9.4469,83.88,53,20,12.66
232,Todos Santos,MX,2021-08-03 15:44:11,23.45,-110.2167,91.74,74,91,7.27
233,Pochutla,MX,2021-08-03 15:44:11,15.7432,-96.4661,83.25,57,100,2.68
234,Karratha,AU,2021-08-03 15:44:12,-20.7377,116.8463,63.95,23,41,13.47
235,Auki,SB,2021-08-03 15:44:12,-8.7676,160.7034,74.39,85,17,4.47
236,Haines Junction,CA,2021-08-03 15:44:12,60.7522,-137.5108,51.75,93,100,3.44
237,Karla,EE,2021-08-03 15:44:13,59.3723,24.9275,64.56,61,20,18.41
238,Cuamba,MZ,2021-08-03 15:44:13,-14.8031,36.5372,69.26,32,0,7.54
239,Bengkulu,ID,2021-08-03 15:44:13,-3.8004,102.2655,76.23,90,81,3.09
240,Micheweni,TZ,2021-08-03 15:44:14,-4.9667,39.8333,75.52,79,42,12.24
241,Jinxiang,CN,2021-08-03 15:44:14,27.4327,120.6062,79.39,92,100,10.45
242,Kavieng,PG,2021-08-03 15:44:14,-2.5744,150.7967,81.23,79,17,6.69
243,North Platte,US,2021-08-03 15:44:15,41.1239,-100.7654,71.49,56,1,6.91
