City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Maroantsetra,MG,-15.4333,49.7333,67.5,84,78,6.35,light rain
270,Ostrovnoy,RU,68.0531,39.5131,49.6,81,100,2.35,overcast clouds
271,Margate,GB,51.3813,1.3862,63.03,96,24,1.99,few clouds
272,Husavik,IS,66.0449,-17.3389,53.51,90,61,2.98,broken clouds
273,Ambulu,ID,-8.345,113.6058,78.24,80,100,2.44,overcast clouds
274,Guerrero Negro,MX,27.9769,-114.0611,75.94,69,20,15.08,few clouds
275,Tinaquillo,VE,9.9186,-68.3047,68.54,98,9,0.45,clear sky
276,Komsomolskiy,UZ,40.4272,71.7189,75.92,33,32,2.3,scattered clouds
277,Bambous Virieux,MU,-20.3428,57.7575,68.25,64,20,6.91,light rain
278,Richards Bay,ZA,-28.783,32.0377,60.1,91,0,7.29,clear sky
279,Kamloops,CA,50.6665,-120.3192,91.81,24,75,11.01,smoke
280,Constantine,DZ,36.365,6.6147,74.61,49,0,5.75,clear sky
281,Baie-Comeau,CA,49.2168,-68.1489,69.8,94,1,2.3,clear sky
282,Upata,VE,8.0086,-62.3989,70.32,93,27,1.61,scattered clouds
283,Mpanda,TZ,-6.3655,31.0409,69.28,51,73,3.6,broken clouds
284,Provideniya,RU,64.3833,-173.3,55.51,58,0,11.18,clear sky
285,Monteagudo,BO,-19.8167,-63.9833,56.8,59,0,3.0,clear sky
286,Yar-Sale,RU,66.8333,70.8333,63.45,68,100,7.18,overcast clouds
287,Skelleftea,SE,64.7507,20.9528,50.36,81,100,2.3,overcast clouds
288,Mtwara,TZ,-10.2667,40.1833,68.97,91,11,6.64,few clouds
289,Prince Rupert,CA,54.3161,-130.3201,58.69,94,90,6.91,light rain
290,Arraias,BR,-12.9288,-46.9437,72.05,32,75,8.41,broken clouds
291,Georgetown,MY,5.4112,100.3354,84.13,77,20,3.44,thunderstorm
292,San Juan,AR,-31.5375,-68.5364,64.54,30,100,4.29,overcast clouds
293,Mongu,ZM,-15.2484,23.1274,51.69,31,0,4.85,clear sky
294,Bosaso,SO,11.2842,49.1816,88.99,43,84,20.92,light rain
295,Adrar,MR,20.5022,-10.0711,91.17,16,90,7.7,overcast clouds
296,Antalaha,MG,-14.9003,50.2788,66.85,84,70,8.61,broken clouds
297,Kyaikkami,MM,16.08,97.5675,80.4,86,98,9.6,overcast clouds
298,Katsuura,JP,35.1333,140.3,87.91,74,73,9.75,broken clouds
299,Aklavik,CA,68.2191,-135.0107,63.32,49,18,20.69,few clouds
300,Bethel,US,41.3712,-73.414,72.72,87,1,3.44,clear sky
301,Muros,ES,42.7762,-9.0603,64.24,87,95,3.09,overcast clouds
302,Jaguaribe,BR,-5.8906,-38.6219,80.87,51,68,10.63,broken clouds
303,Kilifarevo,BG,42.9833,25.6333,77.22,73,98,0.0,light rain
304,Boysun,UZ,38.2061,67.1986,73.22,28,12,5.03,few clouds
305,Pochutla,MX,15.7432,-96.4661,74.82,83,94,1.77,overcast clouds
306,Morondava,MG,-20.2833,44.2833,70.99,60,99,9.17,overcast clouds
307,Boa Vista,BR,2.8197,-60.6733,80.58,74,20,6.91,few clouds
308,Porto Velho,BR,-8.7619,-63.9039,77.05,57,100,1.14,smoke
309,Regina,CA,50.4501,-104.6178,82.4,44,20,3.44,smoke
310,Khasan,RU,42.4308,130.6434,78.66,74,100,5.26,overcast clouds
311,Zhigansk,RU,66.7697,123.3711,58.39,45,100,9.04,overcast clouds
312,Aksu,CN,41.1231,80.2644,78.69,33,100,5.23,overcast clouds
313,Kalemie,CD,-5.9475,29.1947,73.42,57,54,2.13,broken clouds
314,Porlamar,VE,10.958,-63.8491,82.49,78,3,8.05,clear sky
315,Rennes,FR,48.1667,-1.6667,60.19,88,90,8.05,overcast clouds
316,Litovko,RU,49.2361,135.1742,63.93,97,100,4.0,overcast clouds
317,Labuhan,ID,-6.8844,112.2051,80.64,76,87,7.45,overcast clouds
318,Raudeberg,NO,61.9875,5.1352,57.2,79,100,4.18,overcast clouds
319,Ketchikan,US,55.3422,-131.6461,57.67,94,90,11.5,light rain
320,Iracoubo,GF,5.4802,-53.2011,76.91,88,88,3.83,overcast clouds
321,Gandorhun,SL,7.5,-11.8333,72.43,95,100,3.94,overcast clouds
322,Dunedin,NZ,-45.8742,170.5036,50.54,64,7,2.89,clear sky
323,Acapulco,MX,16.8634,-99.8901,84.02,74,90,3.44,overcast clouds
324,Half Moon Bay,US,37.4636,-122.4286,81.97,76,1,12.66,clear sky
325,Magistralnyy,RU,56.1725,107.4458,60.58,90,99,3.11,light rain
326,Monrovia,LR,6.3005,-10.7969,77.0,78,100,10.94,light rain
327,Soltsy,RU,58.1239,30.3238,54.41,99,100,7.87,overcast clouds
328,Mega,ET,4.05,38.3,57.81,70,78,16.26,broken clouds
